date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2013-10-13,2.249956166185843,2.6835218110120143,0.8640916613902472,2.6835218110120143,2.9406692390106475
2013-10-14,2.802946516158317,2.858390459256165,0.3023622302301445,2.858390459256165,2.6349680151328188
2013-10-15,3.048870167279849,2.9612898015340705,0.26425612029785783,2.9612898015340705,2.6630548083426744
2013-10-16,1.9590097653695688,1.9449867009427597,0.2774546106548932,1.9449867009427597,2.028949556114043
2013-10-17,1.8421947162861225,1.7976324644296373,0.10140955933980549,1.7976324644296373,1.5793126029905211
2013-10-18,1.4314819040816784,1.6457467148041,0.21709182426068974,1.6457467148041,1.3666151982749486
2013-10-19,1.137141964002803,4.226641804701257,0.37848319389634894,4.559960797226223,0.7510560514156722
2013-10-20,1.5012588537734646,2.6664358375614454,0.2070820841258844,2.5179824218722953,2.0240516164448557
2013-10-21,2.384920864056965,2.4015388697709357,0.23660132826766944,2.381420738106662,2.348509269475895
2013-10-22,,,,,
2013-10-23,1.9298098628843767,2.664834938726942,0.4008609188277376,2.8246506148632444,2.171153770808463
2013-10-24,2.936149266965338,2.9970682763050704,0.32668889937917894,2.9676646670160958,2.917359776831096
2013-10-25,2.77808979213464,3.4677095648155207,1.5524191958007711,3.4677095648155207,2.597889022374522
2013-10-26,2.839575857883441,2.8910403563904183,0.4164129056273396,2.8910403563904183,2.7891233782694957
2013-10-27,2.0379640223865976,2.6770156254639486,0.6534347534870514,2.6770156254639486,2.0342857718646354
2013-10-28,3.0143987563018118,3.059841862552838,0.2832711555944545,3.0478598075662964,2.777539606019239
2013-10-29,3.2512270045771148,3.7007573848763924,0.9002112516451705,3.810634350526658,3.3139018575311736
2013-10-30,4.286094863699186,4.169789124981784,1.1417833867333904,4.169789124981784,3.9305438536373583
2013-10-31,1.683618763058343,2.35616172195862,0.46697255220603867,2.35616172195862,1.9844580163739618
2013-11-01,2.8530786751548067,2.793417535010768,0.39770139420854317,2.793417535010768,2.466834246424544
2013-11-02,3.461254701751072,3.4637174715763357,0.7024391632933537,3.4637174715763357,2.988443224916741
2013-11-03,2.3585816979214718,1.4800134123654476,0.6259352120037048,1.4800134123654476,2.67310263761264
2013-11-04,0.2300726171114596,0.1692291020044181,,0.21378076677374433,0.0652862195507521
2013-11-05,2.9198653105300365,2.947590767247451,0.23666497522448526,2.988899850560044,2.759317084167287
2013-11-06,2.86737536192348,2.8978700961751165,0.5050538889192298,2.8978700961751165,2.5314690648528098
2013-11-07,2.4842596073600056,3.9866779564128376,0.8368458242336408,3.8666490679205547,2.5882315176250583
