date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2010-12-31,,,,,
2011-01-01,,,,,
2011-01-02,,,,,
2011-01-03,,,,,
2011-01-04,,,,,
2011-01-05,,,,,
2011-01-06,,,,,
2011-01-07,,,,,
2011-01-08,,,,,
2011-01-09,,,,,
2011-01-10,,,,,
2011-01-11,,,,,
2011-01-12,,,,,
2011-01-13,,,,,
2011-01-14,,,,,
2011-01-15,,,,,
2011-01-16,,,,,
2011-01-17,,,,,
2011-01-18,,,,,
2011-01-19,,,,,
2011-01-20,,,,,
2011-01-21,,,,,
2011-01-22,,,,,
2011-01-23,,,,,
2011-01-24,,,,,
2011-01-25,,,,,
2011-01-26,,,,,
2011-01-27,,,,,
2011-01-28,,,,,
2011-01-29,,,,,
2011-01-30,,,,,
2011-01-31,,,,,
2011-02-01,,,,,
2011-02-02,,,,,
2011-02-03,,,,,
2011-02-04,,,,,
2011-02-05,,,,,
2011-02-06,,,,,
2011-02-07,,,,,
2011-02-08,,,,,
2011-02-09,,,,,
2011-02-10,,,,,
2011-02-11,,,,,
2011-02-12,,,,,
2011-02-13,,,,,
2011-02-14,,,,,
2011-02-15,,,,,
2011-02-16,,,,,
2011-02-17,,,,,
2011-02-18,,,,,
2011-02-19,,,,,
2011-02-20,,,,,
2011-02-21,,,,,
2011-02-22,,,,,
2011-02-23,,,,,
2011-02-24,,,,,
2011-02-25,,,,,
2011-02-26,,,,,
2011-02-27,,,,,
2011-02-28,,,,,
2011-03-01,,,,,
2011-03-02,,,,,
2011-03-03,,,,,
2011-03-04,,,,,
2011-03-05,,,,,
2011-03-06,,,,,
2011-03-07,,,,,
2011-03-08,,,,,
2011-03-09,,,,,
2011-03-10,,,,,
2011-03-11,,,,,
2011-03-12,,,,,
2011-03-13,,,,,
2011-03-14,,,,,
2011-03-15,-0.3745141169979281,,,,-0.7057102226921286
2011-03-16,-9.48290767024258,,,,1.8848155262493549
2011-03-17,1.4006631426019205,1.6703060735327468,2.5747811294840455,1.690744295870881,1.4110328450781735
2011-03-18,1.9074016378966918,1.653626913657289,1.0795701660070984,1.9117647376798992,1.8363712405717363
2011-03-19,0.39938205004719557,,,,0.4040169066213669
2011-03-20,-0.09066099323401694,-3.1212149927268875,,-3.1212149927268875,0.48147862253602
2011-03-21,,,,,
2011-03-22,,,,,
2011-03-23,,,,,
2011-03-24,,,,,
2011-03-25,,,,,
2011-03-26,,,,,
2011-03-27,,,,,
2011-03-28,,,,,
2011-03-29,,,,,
2011-03-30,,,,,
2011-03-31,,,,,
2011-04-01,,,,,
2011-04-02,2.586699721248258,-13.121078383039174,,-13.121078383039174,2.1026794217103983
2011-04-03,2.2728607442968674,1.676440852013448,2.7299834581384457,1.676440852013448,2.146189127745523
2011-04-04,1.4965389966194005,1.3644366219412891,2.1770556807591137,1.341307395910239,1.3936524846125729
2011-04-05,,,,,
2011-04-06,,,,,
2011-04-07,,,,,
2011-04-08,,,,,
2011-04-09,,,,,
2011-04-10,,,,,
2011-04-11,,,,,
2011-04-12,,,,,
2011-04-13,,,,,
2011-04-14,,,,,
2011-04-15,,,,,
2011-04-16,,,,,
2011-04-17,,,,,
2011-04-18,,,,,
2011-04-19,10.337914204727108,,,,10.012994044364747
2011-04-20,6.496207926792045,,,,8.12758208879288
2011-04-21,8.603033778785093,,,,7.569483734343876
2011-04-22,26.3650331812193,,,,5.978075872922631
2011-04-23,7.353230591509011,7.675560276273279,7.327430321316636,7.675560276273279,5.89697141242991
2011-04-24,7.046119575319493,7.043460064762755,2.7472209455778795,7.109169956971893,6.878699085225093
2011-04-25,6.939992483130354,,,,5.475534364948898
2011-04-26,3.1020076840897146,,,,4.970519089011986
2011-04-27,5.787573024359776,,,,5.850833880747693
2011-04-28,6.989230712124988,7.815686752621255,7.379119375981167,8.723275522431553,6.599899566709653
2011-04-29,4.305639167303836,4.072472954676457,3.917776568545228,4.072472954676457,3.7306150261398057
2011-04-30,3.573195489495466,,,,3.443627543635473
2011-05-01,1.6694100230512747,,,,2.228107871213101
2011-05-02,3.010707352660973,3.586783097057512,4.346494441648889,3.844156894290077,3.1130772814551513
2011-05-03,2.0424858178909946,,,,2.198064606993929
2011-05-04,1.8133676351683246,,,,6.582316533904687
2011-05-05,1.6559701724393483,1.874217554499014,1.3040628442750435,1.8583295126151835,1.622548253924929
2011-05-06,1.4328656786025655,1.4443963583260262,1.6676438499098716,1.4443963583260262,1.4101067888938636
2011-05-07,1.5955920943328756,1.5934374874884802,1.5278073584516974,1.5934374874884802,1.6747992034294208
2011-05-08,1.6442472072541379,1.6485378745590353,1.012934067156998,1.6552850561241013,1.731778983396278
2011-05-09,1.5096898114799742,1.534420027333747,0.812475819514868,1.534420027333747,1.5999754839665257
2011-05-10,1.248381845802066,1.3456328807739162,1.3385999357234728,1.4206580598363612,1.294695934728109
2011-05-11,1.6641034952107114,1.8798200644087733,1.195656246393957,1.8798200644087733,1.8232417993405579
2011-05-12,1.7172714497850932,1.6204868893726057,1.387304824395159,1.6721322809711803,1.9792692869762971
2011-05-13,1.6477288428041332,1.8170282548214682,1.3850305784085328,1.8170282548214682,1.721312701513906
2011-05-14,2.953710774073779,2.7835295824957353,1.8329442629189319,2.7835295824957353,3.0002640749497087
2011-05-15,2.096498704743771,2.1584902246598774,2.0867626962543735,2.1584902246598774,2.2237032027720303
2011-05-16,2.634835881821877,2.709679799922196,10.703883009554497,2.709679799922196,2.954770358496364
2011-05-17,3.0786130065076582,3.5243144897922396,2.125857458916574,3.5243144897922396,3.612896352733623
