date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2012-07-18,0.23565834498434154,0.19530079795804725,0.00993272540800163,0.18536807255004562,0.023358375267213297
2012-07-19,1.0711533443214725,0.22115969031150784,0.04987274803778588,0.2710324383492937,1.1144597997191208
2012-07-20,0.6045380414065868,0.003183912413233736,0.03634510362516001,0.03952901603839376,0.6457446631930769
2012-07-21,0.5547534052188972,0.053006351425096465,0.06293241621817983,0.009926064793083333,0.6463265928174428
2012-07-22,0.253346936280633,0.09801378906134509,0.08575304146013925,0.012260747601205851,0.3608831610282757
2012-07-23,0.20352167095454318,0.03615100610755051,0.00472493271724652,0.03142607339030398,0.42845977685790676
2012-07-24,0.5566588489770739,0.1656552666825068,0.07504653860298673,0.09060872807952006,0.35227380045944584
2012-07-25,0.593228349778951,0.06517921065413973,0.044003821194159756,0.021175389459979932,0.5646135485499759
2012-07-26,0.4980427230660896,0.14187073411872114,0.056547100097368845,0.08532363402135225,0.4953197900172623
2012-07-27,0.25876307267493637,0.039297742143210024,0.00576405766437077,0.04506179980758074,0.31935666178493216
2012-07-28,0.42211371815743837,0.07781854934804625,0.009608203657129496,0.06821034569091675,0.38046248272955485
2012-07-29,0.46590479797506856,0.10612288306005746,0.003737598345298139,0.10986048140535562,0.5458721608024323
2012-07-30,0.41178639546978085,0.20910958868781002,0.0700522698753079,0.13905731881250213,0.4401992529342365
2012-07-31,0.43783383656765645,0.13122378657045103,0.05474745388251102,0.07647633268794003,0.48529055512188624
2012-08-01,0.43906119279861033,0.12549910500819672,0.049400452693629006,0.07609865231456772,0.48240614056541287
2012-08-02,0.3038658499995796,0.05654068436641726,0.029753230553172,0.02678745381324527,0.4191562503591244
2012-08-03,0.24548847504316149,0.04932690582601686,0.019883867694604884,0.06921077352062176,0.1695316886787373
2012-08-04,0.2529574687251306,0.11418343923640957,0.009030445967659506,0.10515299326875005,0.338014234552818
2012-08-05,0.6207889079694227,0.005018312593124741,0.2629906429618982,0.268008955555023,0.7019477482715165
2012-08-06,1.4729278964831605,0.6960357588314877,0.137255420032461,0.5587803387990267,1.6211850724750532
2012-08-07,0.411828858574972,0.326285455159639,0.01873772539147014,0.34502318055110914,0.6069926472284858
2012-08-08,0.9418537570009274,0.3892209088665915,0.0461397016145835,0.3430812072520079,1.0684212268874254
2012-08-09,0.9787611675301391,0.2241689271018703,0.0629892489015416,0.16117967820032875,1.1131080410132
2012-08-10,0.7352007021465423,0.2411753555696312,0.1254462610582125,0.11572909451141866,0.7209124205818255
2012-08-11,0.5018424321433197,0.09306815932548565,0.04979517869822066,0.04327298062726498,0.5053621708969042
2012-08-12,0.26070007101799053,0.10970307954296324,0.08658491266842075,0.19628799221138393,0.1446158913249071
2012-08-13,0.42111058537920093,0.007324047786483101,0.057208790452148967,0.06453283823863207,0.4899157257174853
2012-08-14,0.26619785104016025,0.04246318574801097,0.0062597769404129965,0.03620340880759796,0.16871148209139405
2012-08-15,0.6516192249860658,0.18477168156398013,0.020306984540610234,0.1644646970233699,0.5885715249684358
2012-08-16,0.009367102367536531,0.01911954880614626,0.048353559415566245,0.06747310822171249,0.05754387900364023
2012-08-17,0.32052806431568326,0.1333135441750444,0.01600198035924712,0.1173115638157973,0.35879730687306105
2012-08-18,0.4215843895095889,0.19418130292237876,0.016019196973443006,0.17816210594893578,0.4384746723367924
