date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2010-12-31,,,,,
2011-01-01,,,,,
2011-01-02,,,,,
2011-01-03,,,,,
2011-01-04,,,,,
2011-01-05,,,,,
2011-01-06,,,,,
2011-01-07,,,,,
2011-01-08,,,,,
2011-01-09,,,,,
2011-01-10,,,,,
2011-01-11,,,,,
2011-01-12,,,,,
2011-01-13,,,,,
2011-01-14,,,,,
2011-01-15,,,,,
2011-01-16,,,,,
2011-01-17,,,,,
2011-01-18,,,,,
2011-01-19,,,,,
2011-01-20,,,,,
2011-01-21,,,,,
2011-01-22,,,,,
2011-01-23,,,,,
2011-01-24,,,,,
2011-01-25,,,,,
2011-01-26,,,,,
2011-01-27,,,,,
2011-01-28,,,,,
2011-01-29,,,,,
2011-01-30,,,,,
2011-01-31,,,,,
2011-02-01,,,,,
2011-02-02,,,,,
2011-02-03,,,,,
2011-02-04,,,,,
2011-02-05,,,,,
2011-02-06,,,,,
2011-02-07,,,,,
2011-02-08,,,,,
2011-02-09,,,,,
2011-02-10,,,,,
2011-02-11,,,,,
2011-02-12,,,,,
2011-02-13,,,,,
2011-02-14,,,,,
2011-02-15,,,,,
2011-02-16,,,,,
2011-02-17,,,,,
2011-02-18,,,,,
2011-02-19,,,,,
2011-02-20,,,,,
2011-02-21,,,,,
2011-02-22,,,,,
2011-02-23,,,,,
2011-02-24,,,,,
2011-02-25,,,,,
2011-02-26,,,,,
2011-02-27,,,,,
2011-02-28,,,,,
2011-03-01,,,,,
2011-03-02,,,,,
2011-03-03,,,,,
2011-03-04,,,,,
2011-03-05,,,,,
2011-03-06,,,,,
2011-03-07,,,,,
2011-03-08,,,,,
2011-03-09,,,,,
2011-03-10,,,,,
2011-03-11,,,,,
2011-03-12,,,,,
2011-03-13,,,,,
2011-03-14,,,,,
2011-03-15,0.2618842411925769,,,,0.5369068596663977
2011-03-16,0.0050536060736385835,,,,0.05418318820033921
2011-03-17,0.30414327076993053,0.37647018801280197,0.05649056002084303,0.3199796279919589,0.03277500675730405
2011-03-18,2.3428688066835877,0.0766831369471721,0.17283903107154922,0.2495221680187214,2.2549016071709937
2011-03-19,1.1516994471862123,0.24610867811498796,0.7591146241859024,0.5130059460709144,0.9879226199569728
2011-03-20,0.9480525072268182,0.11364901560914271,,,1.341549176746383
2011-03-21,,,,,0.010238158878761196
2011-03-22,,,,,
2011-03-23,,,,,
2011-03-24,,,,,
2011-03-25,,,,,
2011-03-26,,,,,
2011-03-27,,,,,
2011-03-28,,,,,
2011-03-29,,,,,
2011-03-30,,,,,
2011-03-31,,,,,
2011-04-01,,,,,
2011-04-02,0.44548377637011327,,,,0.32514735360472985
2011-04-03,0.6673380733577957,0.3382030924858848,0.0011571209024241144,0.3370459715834607,0.8258255957435022
2011-04-04,1.2977880053414643,0.9393251492031213,0.14591688289013105,0.7934082663129902,1.0817229793663743
2011-04-05,,,,,
2011-04-06,,,,,
2011-04-07,,,,,
2011-04-08,,,,,
2011-04-09,,,,,
2011-04-10,,,,,
2011-04-11,,,,,
2011-04-12,,,,,
2011-04-13,,,,,
2011-04-14,,,,,
2011-04-15,,,,,
2011-04-16,,,,,
2011-04-17,,,,,
2011-04-18,,,,,
2011-04-19,0.9127909480311779,,,,0.8406709821890255
2011-04-20,0.4911088585602797,,,,1.7821764222448122
2011-04-21,3.164191024708108,1.357792187062113,,,4.772164679236145
2011-04-22,1.1997692558370132,0.6889985364065687,,,1.211122877681929
2011-04-23,0.009889344654066157,0.026426275190650463,0.06446046489068757,0.09088674008133805,1.454961035126827
2011-04-24,26.333235098226872,7.368443470882251,0.09465534226845393,7.463098813150702,31.26162354172763
2011-04-25,12.65240409482019,8.724690057948083,,,14.537770901580428
2011-04-26,11.259946039072695,5.3868317063136,,,12.914070863119548
2011-04-27,6.399065512678426,3.497785725857941,,,6.821149609358465
2011-04-28,2.294686107240294,0.3980949250030832,0.11960416445445446,0.27849076054862865,3.265722181782837
2011-04-29,2.873046630420212,2.0596339442349416,,0.04077883316716613,3.712322065305948
2011-04-30,2.726084009212206,1.1129285596612282,,,3.1222179038699003
2011-05-01,5.825759520909732,4.1291578431569365,,,5.679804405653705
2011-05-02,0.17078810142399076,0.27715572528235544,0.10855455057936585,0.16860117470298963,0.3350890378901833
2011-05-03,8.302372200022376,5.312151317594152,,,8.892625919965216
2011-05-04,0.049240822511298986,0.0122847720413253,0.006135711512007511,0.006149060529317785,0.05383055656499362
2011-05-05,0.5349457498910568,0.2953574411389407,0.017951488637099382,0.2774059525018413,1.2378014306446528
2011-05-06,0.42645389879133405,0.09386009732581946,0.05163572469045555,0.14549582201627487,0.5254645896244541
2011-05-07,0.2534076043749731,0.16339895351408718,0.13275798430807806,0.030640969206009117,1.5454581124477778
2011-05-08,1.1292725432439796,0.6438586571432909,0.01046630198459632,0.6543249591278872,1.0785439626694195
2011-05-09,1.4523497577637399,1.0794287014114146,0.19722918713254653,0.8821995142788681,1.3486729498418064
2011-05-10,0.2867054574120252,0.1123701192449208,0.06347990802269307,0.04889021122222781,0.519804343795846
2011-05-11,0.6813401270054242,0.42727379777130237,0.047748764132647774,0.37952503363865475,0.6615612865758497
2011-05-12,0.4847628339044495,0.04028767180493498,0.03434312067101854,0.07463079247595328,0.5865544819556667
2011-05-13,0.48734894101220766,0.22659271924356061,0.02886743944153788,0.1977252798020227,0.5835987540980434
2011-05-14,0.06570033775080791,0.024658541745624835,0.0033371554667431125,0.021321386278881728,0.08239688271818807
