date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2012-05-22,0.07069476871512605,0.041714543648022274,0.01735982763044775,0.041714543648022274,0.11865357022795349
2012-05-23,0.1913256860450368,0.05539552406357143,0.034978795440494835,0.05539552406357143,0.16394748939714798
2012-05-24,0.23510023017874027,0.0767300491553553,0.01650649437951663,0.0767300491553553,0.2158763943104806
2012-05-25,0.14750904092257028,0.06042644766151258,0.009278568736393433,0.06042644766151258,0.18701703847344497
2012-05-26,0.13885588743293167,0.08714557152871391,0.026568140552683986,0.09520127155728816,0.14330595573674715
2012-05-27,0.25211101662102053,0.23223987956443207,0.05985265281789473,0.23223987956443207,0.36983422503865687
2012-05-28,0.12932909713491825,0.1149797222353668,0.03361029856723881,0.1149797222353668,0.1469426416946929
2012-05-29,0.09398981775526906,0.05745884343268657,0.011731645523814867,0.05745884343268657,0.08872417644018185
2012-05-30,0.09727892921493259,0.08338281958806881,0.010726977139199987,0.08338281958806881,0.11871157940335485
2012-05-31,0.1822619528816327,0.040344293920248436,,0.040344293920248436,0.10888500584127549
2012-06-01,0.041498231104664794,0.0425442208160821,0.016829830068775052,0.0425442208160821,0.050816149689469195
2012-06-02,0.029239937642416648,0.027790754641903167,,0.027790754641903167,0.026612249876430613
2012-06-03,0.09544324764552847,0.055087055348150275,0.009817700414857154,0.055087055348150275,0.08283024220805284
2012-06-04,0.07371680535233893,0.014114055636540423,,0.005632229690202434,0.08440184151707368
2012-06-05,0.09946298625876873,0.05473107665304545,0.022876969270332687,0.05473107665304545,0.07323483227103386
2012-06-06,0.08286726471505552,0.04144357227203749,0.014621962227760608,0.03592478417085502,0.08615525636907694
2012-06-07,0.06586814708314964,0.013201790925638304,,0.013201790925638304,0.18019999621104119
2012-06-08,0.031850503528157256,0.017067276922969145,0.002757284663565896,0.017067276922969145,0.03820659587558143
2012-06-09,0.09859647284593331,0.03396824337320389,0.020871877785738548,0.03396824337320389,0.07604078650550584
2012-06-10,0.15147893455582706,0.059947134430275,0.8166911310479977,0.04883382307353383,0.10260049067173822
2012-06-11,0.11462403684397339,0.3171899088568415,0.3171899088568415,,0.10605950598091979
2012-06-12,,,,,
2012-06-13,,,,,
2012-06-14,,,,,
2012-06-15,,,,,
2012-06-16,0.06158212743400654,0.035755429001095886,0.023037739303002853,0.035755429001095886,0.06969257154589431
2012-06-17,0.04214001900694444,0.029547146578518358,0.009172858545704704,0.0324270575744495,0.05480672149594277
2012-06-18,0.06260466412106064,0.023523086656883706,0.022381441835619232,0.019975553275781256,0.06652129929427768
2012-06-19,0.08411872623020843,0.02197446384017494,0.009133223412824432,0.02197446384017494,0.15239434131678886
2012-06-20,0.08579915695352798,0.02308589018819325,0.010924693943163097,0.017777541749417466,0.08053815812226593
2012-06-21,,0.028446847671648356,0.015825949318979345,0.028446847671648356,0.059228797741455
2012-06-22,0.06116449743758186,0.017791818909407675,-0.03464089739891811,0.017791818909407675,0.12820378511150388
2012-06-23,0.08609212146439574,0.0314939735687886,0.008997792440477326,0.0314939735687886,0.09303700503786952
2012-06-24,0.031654176654842894,0.0272629710631111,0.0029424329176470504,0.0272629710631111,0.06707188977771947
2012-06-25,0.03798465988237429,0.02230557446341389,0.01527685411614801,0.01858956498164801,0.04919138495879654
2012-06-26,0.049391758985293494,0.017751366466552992,,0.017751366466552992,0.0455862501926667
2012-06-27,0.032782860783067,0.016056341239082325,0.006958697491044826,0.014931168157266332,0.03460969961368955
2012-06-28,0.05665262134885385,0.017683173324774284,0.004461197954860265,0.019845445926173627,0.05116971680668866
2012-06-29,0.03346425479652883,0.010950891223921578,0.004171221979274614,0.010950891223921578,0.04595079684500279
2012-06-30,0.05703951054814976,0.006868153688263462,,0.006868153688263462,0.05822660000500494
2012-07-01,0.03962009860133817,0.01391180749068063,0.017466860859459456,0.01391180749068063,0.03291048028567042
2012-07-02,0.0353983245510357,0.014697785980137941,0.0065077255869527935,0.014697785980137941,0.04536267848111896
2012-07-03,0.03458248999076631,0.021736340012445694,0.016402453971838257,0.02164372059627067,0.03534268086361541
2012-07-04,0.017456975069479113,0.013288103613080996,,0.013847020036799447,0.015613295119315236
2012-07-05,,,,,-0.05498457030068486
2012-07-06,0.5824999580260948,0.6503826818734287,0.2611825903402278,0.6503826818734287,0.5091213580231414
2012-07-07,0.5428799708549797,0.5145150275982453,0.36385497580409015,0.5568119663285821,0.5675470147667783
2012-07-08,0.5834808968174107,0.3401600682126232,0.1884031050246713,0.34957487277370375,0.5416592330351675
2012-07-09,0.4010350375623611,0.3694103749249147,0.10901849416540539,0.3694103749249147,0.6748915313572209
2012-07-10,0.6979386647593797,0.6896893070675222,0.26629472564657825,0.7205292710522627,0.7528176150096837
2012-07-11,0.4186861325105348,0.41354080220261386,0.19357104869421576,0.4176373391523116,0.5471708689248095
2012-07-12,0.7280489002094093,0.4504802796666447,0.1603754801128163,0.4504802796666447,0.6463042432194599
2012-07-13,0.7535674693143508,0.28687703259800584,0.060743256489509415,0.28687703259800584,0.6427352366631416
2012-07-14,0.6422582476551746,0.33776766409249054,0.1117212652900862,0.33776766409249054,0.5008924518634942
2012-07-15,1.0684038120071475,0.2743004518917391,0.07832459423250002,0.2743004518917391,0.9772434869792934
2012-07-16,1.2214466304775704,0.3259443708669923,0.4098458089642586,0.2787343619322895,0.7382225421136449
2012-07-17,0.8407899525646613,0.30460029113402265,0.1716020901549166,0.2604478120010959,0.7252187292899328
2012-07-18,0.29938926955012957,0.16547186888057122,-0.4181910497746199,0.14798868682565083,0.33856438230776037
2012-07-19,0.38374784394044886,0.21303181662811163,0.13884652624914315,0.2282934804646452,0.34626832430741833
2012-07-20,0.2635070393151615,0.15920718598361774,0.11422153614407764,0.15920718598361774,0.24739512003987815
2012-07-21,0.27086483196410266,0.17100378247662437,0.13745145665452876,0.16170450115569235,0.2599370196072241
2012-07-22,0.16566376490801482,0.13551686167500002,0.11205724345056602,0.13551686167500002,0.17318529936421156
2012-07-23,0.17595293564442013,0.14728826314178917,0.09766063050332635,0.15341457278911763,0.16635773478426127
2012-07-24,0.23007020253459917,0.0987334599264762,0.04655067244507615,0.0987334599264762,0.1960307111697417
2012-07-25,0.250049560047373,0.12084427465081218,0.06838463153968587,0.12084427465081218,0.18975656330552584
2012-07-26,0.14389712034833088,0.0808200369651937,0.16599793446388483,0.0703400201551888,0.13631418685754806
2012-07-27,0.16038683515412003,0.06465562366724971,0.030495733405578103,0.0682989717153317,0.16760526882705448
2012-07-28,0.12782808400961046,0.07910902066619378,0.015258778561881377,0.07485842680010164,0.11624698305615024
2012-07-29,0.09939836025417086,0.07925398510027999,0.018754420411544744,0.08512689529937219,0.09677044042974445
2012-07-30,0.10781439441688172,0.058797112533379554,0.0003488059084403794,0.058797112533379554,0.08008050943867437
2012-07-31,0.11874613837858611,0.027130281980041505,,0.027130281980041505,0.09759681202940726
2012-08-01,0.14421228808285713,0.03863582063296552,0.010824722849533681,0.03863582063296552,0.23463922556669523
2012-08-02,0.14045213065628706,0.04141026780446096,0.050259697368953096,0.04141026780446096,0.2745006050966077
2012-08-03,0.112328042418005,0.04961777076555556,0.10257258284148153,0.04961777076555556,0.10409078608774167
2012-08-04,0.03418027824408079,0.04609040215957734,0.013126385503340733,0.04357482733390909,0.07168499604729635
2012-08-05,0.21272397788775124,0.200738844401776,0.05451548993450466,0.1938430920366412,0.26951745724348186
2012-08-06,0.740022512138761,0.32560729277793676,0.06664252738429088,0.32560729277793676,0.5510882592705807
2012-08-07,0.6248085979970095,0.20311500167629798,,0.1791105667925229,0.5315403816464147
2012-08-08,0.596475785043511,0.1939363039877421,0.055587916877563016,0.18617743724090496,0.6279148340002318
2012-08-09,0.189795349433262,0.08370304317653811,0.021141438868370603,0.08370304317653811,0.17384436049892252
2012-08-10,0.20711884908221848,0.07919528458891087,0.01991275485027522,0.07919528458891087,0.1979547397368524
2012-08-11,0.2742495410638634,0.07497797174013529,0.01677295613902703,0.07497797174013529,0.3179909440689872
2012-08-12,0.11828604312078538,0.039521350081249976,0.03227673335706068,0.039521350081249976,0.08095348849720632
2012-08-13,0.15464346116814923,0.07187965413967543,0.010976414726885781,0.09059163379305041,0.15718780554234651
2012-08-14,0.055430283727020614,0.045694080876268674,0.03001179263714288,0.045694080876268674,0.06841422145794367
2012-08-15,0.10027726959764269,0.06032050290758177,0.010420962878927981,0.05473887136431193,0.08082820003642671
2012-08-16,0.028683637280059144,0.03747589193418501,,0.03747589193418501,0.033297421824542824
2012-08-17,0.0537804679682816,0.05342388743558114,0.011864439302792941,0.05342388743558114,0.07488542651930362
2012-08-18,0.05654689575936718,0.05596888136766181,,0.05596888136766181,0.07320514624047139
2012-08-19,0.0819992564326957,0.03234282943588441,0.026770143143708208,0.03234282943588441,0.08612065497290429
2012-08-20,0.04045807877456768,0.03956776363822559,0.09171199349770698,0.039952344543715164,0.040832684449106614
2012-08-21,0.03476551071767847,0.03668855310887483,0.04463380055853658,0.03668855310887483,0.04611052928446249
2012-08-22,0.02343872164659824,0.04587323680116101,0.048671947413422796,0.04587323680116101,0.022552461073565944
2012-08-23,0.047711699009543626,0.0449578923752347,,0.05005414923734695,0.04206043925984887
2012-08-24,0.07581419282071848,0.06078355313457753,0.042516169115847206,0.06510133421016076,0.06643135707414509
2012-08-25,0.023239371746316344,0.02402988182244106,0.04489233479719784,0.023857778549358288,0.023753047040953098
2012-08-26,0.034910741749168646,0.011163783502022939,-0.007997343409273584,0.011163783502022939,0.055366316684367436
2012-08-27,0.012894015216501223,0.012311322779007094,-0.0031231165875891392,0.012311322779007094,0.00897756274660283
2012-08-28,0.012348502786733002,0.012122834580000005,,0.012122834580000005,0.027192415874352335
2012-08-29,0.018634679278357078,0.01907941917386983,,0.01907941917386983,0.015179304668277209
2012-08-30,0.031000166423077572,0.012909582723989036,,0.015534565890800003,0.02918671548428013
2012-08-31,0.03303460727282865,0.016869168677795893,,0.020540612061932483,0.029709811588813324
2012-09-01,0.024964607804046895,0.024445787670325687,,0.028655053013541362,0.02890892027889475
2012-09-02,0.01755574336465865,0.01791136431666275,0.0022014660969571576,0.01791136431666275,0.014480870736573979
2012-09-03,0.017749753083190437,0.018259157555914486,0.021064522269767457,0.018259157555914486,0.014391176596877752
2012-09-04,0.021076731057299184,0.02023608732022358,0.017683564528292096,0.022792002150668417,0.020449871642916558
2012-09-05,0.028732765851913873,0.027510301516480005,0.0086735760812166,0.033459013745903404,0.029608677981359344
2012-09-06,0.014620298734667287,0.009979116704610512,-0.016221479111999993,0.008170123387862074,0.002113074608665607
2012-09-07,,,,,
2012-09-08,,,,,
2012-09-09,,,,,
2012-09-10,,,,,
2012-09-11,,,,,
2012-09-12,,,,,
2012-09-13,,,,,
2012-09-14,,,,,
2012-09-15,,,,,
