date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2009-12-31,,,,,
2010-01-01,,,,,
2010-01-02,,,,,
2010-01-03,,,,,
2010-01-04,,,,,
2010-01-05,,,,,
2010-01-06,,,,,
2010-01-07,,,,,
2010-01-08,,,,,
2010-01-09,,,,,
2010-01-10,,,,,
2010-01-11,,,,,
2010-01-12,,,,,
2010-01-13,,,,,
2010-01-14,,,,,
2010-01-15,,,,,
2010-01-16,,,,,
2010-01-17,,,,,
2010-01-18,,,,,
2010-01-19,,,,,
2010-01-20,,,,,
2010-01-21,,,,,
2010-01-22,,,,,
2010-01-23,,,,,
2010-01-24,,,,,
2010-01-25,,,,,
2010-01-26,,,,,
2010-01-27,,,,,
2010-01-28,,,,,
2010-01-29,,,,,
2010-01-30,,,,,
2010-01-31,,,,,
2010-02-01,,,,,
2010-02-02,,,,,
2010-02-03,,,,,
2010-02-04,,,,,
2010-02-05,,,,,
2010-02-06,,,,,
2010-02-07,,,,,
2010-02-08,,,,,
2010-02-09,,,,,
2010-02-10,,,,,
2010-02-11,,,,,
2010-02-12,,,,,
2010-02-13,,,,,
2010-02-14,,,,,
2010-02-15,,,,,
2010-02-16,,,,,
2010-02-17,,,,,
2010-02-18,,,,,
2010-02-19,,,,,
2010-02-20,,,,,
2010-02-21,,,,,
2010-02-22,,,,,
2010-02-23,,,,,
2010-02-24,,,,,
2010-02-25,,,,,
2010-02-26,,,,,
2010-02-27,,,,,
2010-02-28,,,,,
2010-03-01,,,,,
2010-03-02,,,,,
2010-03-03,,,,,
2010-03-04,,,,,
2010-03-05,,,,,
2010-03-06,,,,,
2010-03-07,,,,,
2010-03-08,,,,,
2010-03-09,,,,,
2010-03-10,,,,,
2010-03-11,,,,,
2010-03-12,,,,,
2010-03-13,,,,,
2010-03-14,,,,,
2010-03-15,,,,,
2010-03-16,,,,,
2010-03-17,,,,,
2010-03-18,,,,,
2010-03-19,,,,,
2010-03-20,1.5488086021732865,1.4494330789294738,0.29157478569850065,1.4494330789294738,0.8923128698727499
2010-03-21,0.9191469326894915,0.5683943703502541,3.630355253340425,0.20223625227175018,1.0372753347839747
2010-03-22,2.3879842735477665,2.186640870566343,2.3439209824212983,,2.241763614718664
2010-03-23,2.8605338114642778,,,,2.1429081060852195
2010-03-24,3.0440101952488203,3.0286933263799947,1.8550764073722306,3.307364622597033,3.2737072124271176
2010-03-25,3.750801786203813,4.128591663805375,2.939617547858438,4.128591663805375,3.6170028673691816
2010-03-26,1.7998470299195932,0.8461581783047183,0.8461581783047183,-0.1406729569358615,1.3790257967785504
2010-03-27,-0.30789836936652865,,,,8.301444739468673
2010-03-28,-0.1275014903573681,-0.1674752451061893,-171.97347547912435,,-0.0581973050193492
2010-03-29,0.9471901310555014,2.3424602407276085,2.397998806776694,2.3424602407276085,0.8390717402158876
2010-03-30,2.3509306182870846,2.4099720686029134,0.26820964985738005,2.5547247597374465,2.125489409568281
2010-03-31,-0.7789608156353436,-0.6468138306267375,0.145037060853588,,0.9638415121605232
2010-04-01,2.8179505945814354,1.7924617408152437,,1.574634922827626,2.4496215930701326
2010-04-02,2.905376380314176,2.7850850160379395,4.028571638081869,2.8878412589935496,3.0165332859087304
2010-04-03,-0.49538861190349665,11.428130439778956,129.4127754737871,13.228243930190732,-0.010262027315275955
2010-04-04,2.6676923321180084,0.4746712616037957,10.131725238487503,-0.9859308399357725,2.339351512241253
2010-04-05,3.4777542611242174,2.7294021377191022,4.921688323398728,2.643628024475804,3.14421383829635
2010-04-06,3.6621768386108404,3.864116810746932,4.026938466969257,4.437006784824718,3.9566559275988635
2010-04-07,2.5929841371891196,2.646492960092463,2.4583763621486807,2.970148574893077,2.5363095220743386
2010-04-08,3.7153638585066155,2.987620718511885,5.274874811687282,2.987620718511885,3.347264437199817
2010-04-09,2.1792630413935883,3.472840214717656,2.9361653123351337,3.758844997512068,2.885663695942081
2010-04-10,3.937205671412314,3.977073032764421,3.3804319278557715,3.977073032764421,3.8400087547005337
2010-04-11,-0.34727991854302176,8.531922647843588,9.871827087018733,8.531922647843588,-1.7365811881934814
2010-04-12,0.7525955392096066,0.7235878451217705,0.7235878451217705,,0.737293640128974
2010-04-13,0.9573014498047168,3.375102331789257,3.452617845505791,3.375102331789257,0.9578162495944043
2010-04-14,2.892637273607312,3.2472958021155667,2.9075900456464314,3.3872582144327485,2.975177085559329
2010-04-15,3.6622595750332056,3.7786197733113522,3.573764265148416,3.7786197733113522,4.108439855571311
2010-04-16,3.1218168573496228,3.9531645806478055,3.9531645806478055,4.5774741552658975,3.003048534492369
2010-04-17,3.5668437744566592,3.7377472238478835,2.973443630635636,3.7377472238478835,3.4362184503972233
2010-04-18,2.6094545079226874,2.646974869025287,2.58666800234711,2.646974869025287,2.739669718955177
2010-04-19,3.0196219748653177,3.830792061671313,3.6805992751076806,3.830792061671313,3.0747928817572774
2010-04-20,3.340918163576555,3.74446417573558,2.7525786738466507,3.974947343151842,3.2107871981516136
2010-04-21,4.177970972365767,5.707668931015235,15.178541196897847,5.707668931015235,4.299889838537195
2010-04-22,4.7449689261136125,5.294663827983439,3.5870776268120834,5.294663827983439,4.52057520630195
2010-04-23,3.705470866032335,3.8861025556401185,3.1473130654600587,4.0116604374383575,3.7009390962684594
2010-04-24,2.8793278239257964,3.171503405602974,3.1040076491361757,3.34903853861061,3.19594406887858
2010-04-25,3.328161282225101,3.2796548326704684,4.161344282895024,3.528857590740038,2.9066225336682567
