date,8TPD,4TPD,3TPDnight,3TPDday,hourly
2013-05-02,0.2895075283135876,0.15182322573530183,0.038961028631124835,0.112862197104177,0.1911801654435531
2013-05-03,0.35532087098497184,0.3251877010589174,0.0745063230323455,0.25068137802657187,0.42714119877716494
2013-05-04,1.7695637848064685,1.3551399850811912,0.18138237882320485,1.1737576062579866,1.5575535178234967
2013-05-05,2.16150977059701,1.4753742558755105,0.3238136628964573,1.1515605929790536,2.396104581039106
2013-05-06,1.5548334111354756,1.1450334004593827,0.18739989503160695,0.9576335054277758,1.9886404347072628
2013-05-07,1.048469317621339,0.6315233726173333,0.18318061931631657,0.4483427533010166,1.210884087052843
2013-05-08,1.2568549589483409,0.8310799649337288,0.20116847161369894,0.6299114933200298,1.412910881750691
2013-05-09,0.6416584441736195,0.48587442732686903,0.0924728178015837,0.39340160952528536,0.913916146646219
2013-05-10,1.4794610311200103,0.9858903244406032,0.10479664204134645,0.8810936823992567,1.702534208762833
2013-05-11,1.6363514280335367,1.4015653736102824,0.2072481557055073,1.1943172179047754,2.1281772226838465
2013-05-12,2.48214956611392,1.6560016294727544,0.305020981814911,1.3509806476578428,2.9556585836793716
2013-05-13,2.883152961558137,2.015189797911516,0.3462119908697773,1.6689778070417391,3.4400436423581557
2013-05-14,0.32348851902264364,0.005160855719043789,0.020671386532690773,0.015510530813646993,0.16720517685610145
2013-05-15,0.0032946015989527037,0.00012796935658086596,7.673868853847097e-05,5.123066804239497e-05,0.03887734406574139
2013-05-16,0.24692790926725894,0.15480929904880852,0.008709135878885171,0.1461001631699234,0.045082927441665706
2013-05-17,0.004265805467484189,0.004320935019334576,0.006237153825864456,0.0019162188065298795,0.010791537538193285
2013-05-18,0.018810974260693995,0.00645702498520829,0.0020937080442748604,0.004363316940933429,0.03131800417441941
2013-05-19,0.09064168736598949,0.016619261160453244,0.03498836696380092,0.01836910580334769,0.09752783121782761
2013-05-20,0.16548550178977833,0.0377636425804877,0.004971589121811248,0.032792053458676446,0.13900423190557676
2013-05-21,0.3836865567047575,0.12282066000298275,0.0095354982547649,0.11328516174821779,0.17981353469372846
2013-05-22,1.191444639132474,0.8556694267099626,0.08588508862574884,0.7697843380842139,1.1776074852902783
2013-05-23,0.9362762056535288,0.7945027398135223,0.11443000248212268,0.6800727373313995,1.0907307921470741
2013-05-24,1.7590352779165097,1.3166771510821662,0.2755802709335589,1.0410968801486074,1.9944728734553854
2013-05-25,1.5813844801799781,1.5871652412712982,0.3710681256889396,1.2160971155823588,1.8824843125829898
2013-05-26,0.04479695562123168,0.12819850325621393,0.026307881121168265,0.1545063843773822,0.24589693505244173
2013-05-27,1.325503269454365,0.6964245113387633,0.04017697639697935,0.656247534941784,1.5347220752124624
2013-05-28,0.7949574422675969,0.4337626255597907,0.04043307512637431,0.39332955043341633,0.6489779631827305
2013-05-29,0.37535256072198897,0.4859968722922927,0.20583583200738917,0.28016104028490346,0.2590602773235326
2013-05-30,0.33931649073907155,0.42936865058052676,0.04920797553365615,0.38016067504687073,0.311568770660498
2013-05-31,0.05878363954883245,0.13652396198991423,0.05081514733196772,0.0857088146579465,0.07382115166307929
2013-06-01,0.7782938789841467,0.6234595861715969,0.14094777199845582,0.48251181417314104,0.7586694033657583
2013-06-02,1.242382843644231,1.0946629596189565,0.2328835800728773,0.8617793795460794,1.389790008553641
2013-06-03,2.721075724724007,2.116877475754963,0.28486422197529193,1.832013253779671,3.1612457417368938
2013-06-04,3.451212933127564,2.2785623561014168,0.4112240123263804,1.8673383437750364,4.1699592390062366
2013-06-05,1.9923172251251848,0.8233380938943302,0.2827322021610487,0.5406058917332814,2.6454008891096077
2013-06-06,3.5159834330015602,1.8469885132910813,0.1733333027002416,1.67365521059084,4.022334909486985
2013-06-07,0.30770016126963917,0.149330562034947,0.06247936748890874,0.21180992952385574,0.04802965436578477
2013-06-08,0.05193882664554442,0.018209086605699795,0.0006548367409368063,0.01755424986476299,0.07299482922875236
2013-06-09,0.10023197871704076,0.05173288089334475,0.03527619987522138,0.016456681018123365,0.12316609819480595
2013-06-10,2.1627559626442716,1.2511223032642955,0.041170026379160694,1.209952276885135,2.2447165861090217
2013-06-11,1.8214321237898548,1.5531190838384359,0.29911189663451654,1.2540071872039187,2.2739339250607604
2013-06-12,4.804865041544201,3.1699654269282727,0.4304315016041797,2.7395339253240927,5.646975863653353
2013-06-13,3.890003475031172,2.6525875356347712,0.6488066098055787,2.003780925829193,4.346646522013083
2013-06-14,5.986533057286664,2.8903874630913173,0.379920979364623,2.510466483726695,6.306706237793284
2013-06-15,7.006604436487448,3.6654867601047267,0.9655439773585113,2.6999427827462155,7.980674327143314
2013-06-16,7.347288982654983,3.584822522344054,1.1393331247931124,2.4454893975509417,7.841224763090706
2013-06-17,0.31771908448642144,0.2628080978675842,0.31100510505456047,0.5738132029221444,0.219971874545505
2013-06-18,0.28192371725380677,0.1704443904947352,0.21475211208766554,0.044307721592930394,0.1800726477471702
2013-06-19,0.11611401312462592,0.05367102235999027,0.030947841425914502,0.02272318093407577,0.2225960703626513
2013-06-20,2.401046975803096,1.5289243074229835,0.03159777099130488,1.560522078414288,2.7932399875928353
2013-06-21,0.8124572123886721,0.7295167563993747,0.30322014384610274,0.4262966125532719,1.9249672739498962
2013-06-22,4.585964487285268,2.8945721236615904,0.31647521245883814,2.5780969112027523,5.635002478509242
2013-06-23,2.526049380355169,1.5328835991121879,0.5550062592068397,0.9778773399053478,2.811951695647711
2013-06-24,6.408480605479848,3.9836068895327816,0.6864072394367571,3.297199650096025,7.322384497314456
2013-06-25,5.398135654702859,2.875606985768886,0.6352383090583078,2.2403686767105784,6.20037443744091
2013-06-26,5.495345640968746,2.965301715630744,0.37810992264834054,2.5871917929824035,6.568698941018507
2013-06-27,3.7357844994355984,2.4190648551780765,0.6552113460810226,1.763853509097054,4.8876673256684136
2013-06-28,5.163820908250136,3.167086036696302,0.7092163942934124,2.4578696424028896,6.1182865378463305
2013-06-29,6.1984786748307155,3.4179901131977313,0.6483500206824344,2.7696400925152966,7.001788002084426
2013-06-30,7.173886653250768,4.41835065654948,0.6948179527301827,3.7235327038192976,8.429290526052036
2013-07-01,4.9775645934811665,2.3967006108195,0.5998789604482714,1.7968216503712289,6.157687412829174
2013-07-02,5.3401928152243645,2.4927866737250257,0.13363866881154599,2.3591480049134788,6.263027692139721
2013-07-03,5.286543531951873,3.37504944129187,0.7186340491144512,2.6564153921774185,6.563455272697693
2013-07-04,7.9259907770814975,5.360253653591249,0.799969701510291,4.560283952080958,8.788759423383251
2013-07-05,8.335890655426104,5.073242545320555,1.1420428635259947,3.9311996817945607,9.246784290718931
2013-07-06,8.27607310794018,5.47368134554015,1.3485442040718139,4.125137141468336,8.99696188831787
2013-07-07,7.893183731606518,4.878831621182108,1.299019002864744,3.579812618317365,9.029252970072859
2013-07-08,8.466729837676455,4.95930800165516,1.0782060902546884,3.881101911400472,10.165463110301227
2013-07-09,4.152329882778841,0.6320596372697289,0.2107346305431014,0.8427942678128304,6.0756728199547405
2013-07-10,3.061201192048382,1.213688639338667,0.18062962953287245,1.0330590098057943,4.968937798369383
